timestamp,7,145,146,193,226,best_zone
2017-12-06 14:00:00-05:00,11.031247,15.791673,11.798607,3.5625007,12.541671,145
2017-12-06 15:00:00-05:00,11.031247,17.541662,11.458341,3.2916667,12.541671,145
2017-12-06 16:00:00-05:00,15.375001,20.062504,11.388871,3.2916667,14.229166,145
2017-12-06 17:00:00-05:00,17.979183,21.249987,13.015622,3.875,14.152776,145
2017-12-06 18:00:00-05:00,19.35416,21.249987,13.015622,3.875,15.562497,145
2017-12-06 19:00:00-05:00,23.8125,19.22916,14.333331,4.7500033,17.447916,7
2017-12-06 20:00:00-05:00,21.854166,14.354167,10.499999,3.895832,14.041664,7
2017-12-06 21:00:00-05:00,18.479164,9.375004,7.177085,2.8749998,11.312497,7
2017-12-06 22:00:00-05:00,13.624997,6.6875005,7.177085,2.6874995,10.729167,7
2017-12-06 23:00:00-05:00,18.250006,5.4583325,9.020837,5.2291675,14.020837,7
2017-12-07 00:00:00-05:00,22.60417,7.666668,11.999997,6.291667,27.937504,226
2017-12-07 01:00:00-05:00,32.91669,8.020837,12.416666,13.749997,45.27085,226
2017-12-07 02:00:00-05:00,41.97918,13.708333,15.093756,15.927085,56.56252,226
2017-12-07 03:00:00-05:00,31.312498,14.479161,15.708334,14.770833,49.520844,226
2017-12-07 04:00:00-05:00,20.312498,15.243059,15.708337,11.5,24.374996,226
2017-12-07 05:00:00-05:00,16.937502,15.243059,12.229167,9.666664,16.89584,7
2017-12-07 06:00:00-05:00,14.354166,15.243059,11.590284,8.687499,16.250011,226
2017-12-07 07:00:00-05:00,13.249997,16.458338,11.590284,7.4583335,16.60417,226
2017-12-07 08:00:00-05:00,16.58334,17.979176,11.590284,7.7708306,18.447905,226
2017-12-07 09:00:00-05:00,17.083338,17.333326,12.409715,8.500001,21.697906,226
2017-12-07 10:00:00-05:00,15.5625,18.08333,12.409715,7.2083316,18.472195,226
2017-12-07 11:00:00-05:00,12.18229,23.791677,12.409715,6.7291656,18.472195,145
2017-12-07 12:00:00-05:00,12.18229,17.041666,13.958328,6.4166675,17.770828,226
2017-12-07 13:00:00-05:00,14.395836,18.618055,16.166656,5.062502,15.041659,145
2017-12-07 14:00:00-05:00,12.697912,18.618055,13.062499,3.7916667,13.354169,145
2017-12-07 15:00:00-05:00,12.697912,18.618055,11.458341,3.4375007,14.000001,145
2017-12-07 16:00:00-05:00,15.375001,21.208338,11.388871,3.4375007,14.958334,145
2017-12-07 17:00:00-05:00,17.520826,23.812513,14.166669,4.1249986,14.152776,145
2017-12-07 18:00:00-05:00,21.125004,23.812513,14.166669,4.1249986,15.562497,145
2017-12-07 19:00:00-05:00,26.97918,23.041664,15.645832,4.7500033,18.97918,7
2017-12-07 20:00:00-05:00,27.937498,18.041668,12.499997,3.895832,17.416664,7
2017-12-07 21:00:00-05:00,23.187494,11.291668,9.520836,3.6874993,13.583332,7
2017-12-07 22:00:00-05:00,17.437513,7.625001,8.020833,2.6874995,14.083337,7
2017-12-07 23:00:00-05:00,23.312508,7.229166,11.729163,5.9791684,18.437502,7
2017-12-08 00:00:00-05:00,26.354168,7.9999986,13.312501,6.0275874,28.708338,226
2017-12-08 01:00:00-05:00,33.520836,8.791667,12.833334,14.54167,45.27085,226
2017-12-08 02:00:00-05:00,45.625,11.479164,14.437503,17.0,53.812515,226
2017-12-08 03:00:00-05:00,35.833324,15.166667,17.791666,15.791675,52.166656,226
2017-12-08 04:00:00-05:00,24.104162,16.979164,17.791666,12.937499,28.583332,226
2017-12-08 05:00:00-05:00,20.624994,15.499997,12.722219,10.333335,18.770828,7
2017-12-08 06:00:00-05:00,17.22916,17.291674,12.722219,8.687499,20.125002,226
2017-12-08 07:00:00-05:00,16.458326,16.39583,12.722219,7.4583335,17.645836,226
2017-12-08 08:00:00-05:00,18.062506,14.458333,11.375001,7.7708306,18.562498,226
2017-12-08 09:00:00-05:00,21.354162,18.124994,15.791666,9.000001,23.166676,226
2017-12-08 10:00:00-05:00,18.791662,18.749998,14.104164,7.416669,20.625011,226
2017-12-08 11:00:00-05:00,16.427094,25.0625,15.083331,7.833332,20.625011,145
2017-12-08 12:00:00-05:00,16.427094,20.520834,16.874998,6.4166675,19.458336,145
2017-12-08 13:00:00-05:00,17.624994,20.520834,16.874998,4.9166646,15.312499,145
2017-12-08 14:00:00-05:00,15.354164,18.479176,14.499996,3.5208337,14.124995,145
2017-12-08 15:00:00-05:00,16.833338,18.479176,14.499996,3.2916665,15.708333,145
2017-12-08 16:00:00-05:00,18.874994,20.3125,16.291656,3.2916665,15.208334,145
2017-12-08 17:00:00-05:00,24.604164,22.010412,14.562497,4.9374995,17.5,7
2017-12-08 18:00:00-05:00,30.749992,28.145811,17.312504,4.354165,20.062498,7
2017-12-08 19:00:00-05:00,46.354153,32.229153,29.374998,6.249999,27.5625,7
2017-12-08 20:00:00-05:00,49.250004,27.083324,22.87501,5.083334,26.458338,7
2017-12-08 21:00:00-05:00,48.145844,19.604168,16.27083,4.385417,24.781246,7
2017-12-08 22:00:00-05:00,43.97917,14.958335,13.895835,4.385417,24.781246,7
2017-12-08 23:00:00-05:00,50.916668,14.250003,17.916668,4.5595818,31.250002,7
2017-12-09 00:00:00-05:00,25.291664,10.124997,14.166666,6.0275874,25.124994,7
2017-12-09 01:00:00-05:00,33.270836,12.500003,16.333323,9.145831,33.937477,226
2017-12-09 02:00:00-05:00,39.729156,16.729164,20.583324,12.104165,36.583366,7
2017-12-09 03:00:00-05:00,43.02084,16.04166,21.625002,11.39583,43.958347,226
2017-12-09 04:00:00-05:00,45.87499,15.64583,25.208336,11.145832,41.10416,7
2017-12-09 05:00:00-05:00,34.70834,16.66666,25.208336,8.979166,32.374992,7
2017-12-09 06:00:00-05:00,27.645824,15.583336,21.14584,7.729167,30.154636,226
2017-12-09 07:00:00-05:00,26.437504,19.666672,18.645832,7.729167,24.291666,7
2017-12-09 08:00:00-05:00,25.270832,18.541668,18.645832,6.968752,22.937506,7
2017-12-09 09:00:00-05:00,23.812506,20.020838,16.416662,6.968752,24.930546,226
2017-12-09 10:00:00-05:00,23.270834,21.208332,19.583338,6.5000005,24.930546,226
2017-12-09 11:00:00-05:00,22.000002,19.791658,19.583338,5.958334,24.930546,226
